distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 optim_v-16 
8.663723 119 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516284 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.587856 120 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516084 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.667056 121 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686261 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.585323 122 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686241 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.66439 123 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317753 0.5796193 0.06836259 0.7329596 0.4169789 
8.661323 124 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317751 0.5796193 0.06836259 0.7329596 0.4169789 
8.66319 125 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796203 0.06836259 0.7329596 0.4169789 
8.592656 126 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796183 0.06836259 0.7329596 0.4169789 
8.593456 127 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836359 0.7329596 0.4169789 
8.666123 128 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836159 0.7329596 0.4169789 
